m       s*     sc     sb    
65586   3.293  3.293  2.731  
65587   3.188  3.188  2.731  
65588   3.009  3.009  2.731  
65589   2.873  2.873  2.731  
65590   3.199  3.199  2.731  
65591   3.194  3.194  2.731  
65592   3.165  3.165  2.731  
65593   3.15   3.15   2.731  
65594   3.052  3.052  2.731  
65595   3.328  3.328  2.731  
65596   3.189  3.189  2.731  
65597   2.96   2.96   2.731  
65598   3.047  3.047  2.731  
65599   3.468  3.047  2.731  
65600   3.096  3.096  2.731  
65601   3.186  3.186  2.731  
65602   2.906  2.906  2.731  
65603   3.543  2.906  2.731  
65604   3.072  3.072  2.731  
65605   3.014  3.014  2.731  
65606   3.065  3.065  2.731  
65607   3.105  3.105  2.731  
65608   3.029  3.029  2.731  
65609   2.928  2.928  2.731  
65610   2.919  2.919  2.731  
65611   3.135  3.135  2.731  
65612   2.987  2.987  2.731  
65613   2.987  2.987  2.731  
65614   3.158  3.158  2.731  
65615   3.077  3.077  2.731  
65616   3.148  3.148  2.731  
65617   3.397  3.397  2.731  
65618   3.41   3.41   2.731  
65619   3.429  3.429  2.731  
65620   3.549  3.549  2.731  
65621   3.831  3.831  2.731  
65622   3.673  3.673  2.731  
65623   3.499  3.499  2.731  
65624   3.594  3.594  2.731  
65625   3.407  3.407  2.731  
65626   3.407  3.407  2.731  
65627   3.319  3.319  2.731  
65628   3.18   3.18   2.731  
65629   3.031  3.031  2.731  
65630   2.93   2.93   2.731  
65631   2.86   2.86   2.731  
65632   3.175  3.175  2.731  
65633   3.057  3.057  2.731  
65634   2.957  2.957  2.731  
65635   3.762  3.762  2.731  
65636   3.735  3.735  2.731  
65637   3.985  3.985  2.731  
65638   3.906  3.906  2.731  
65639   3.762  3.762  2.731  
65640   3.542  3.542  2.731  
65641   3.606  3.606  2.731  
65642   3.559  3.559  2.731  
65643   3.468  3.468  2.731  
65644   3.336  3.336  2.731  
65645   3.181  3.181  2.731  
65646   3.117  3.117  2.731  
65647   2.938  2.938  2.731  
65648   3.244  3.244  2.731  
65649   3.352  3.352  2.731  
65650   3.183  3.183  2.731  
65651   3.021  3.021  2.731  
65652   3.527  3.021  2.731  
65653   3.034  3.034  2.731  
65654   3.039  3.039  2.731  
65655   2.955  2.955  2.731  
65656   2.886  2.886  2.731  
65657   3.186  3.186  2.731  
65658   3.148  3.148  2.731  
65659   3.127  3.127  2.731  
65660   3.101  3.101  2.731  
65661   2.969  2.969  2.731  
65662   3.31   3.31   2.731  
65663   3.264  3.264  2.731  
65664   3.159  3.159  2.731  
65665   3.667  3.667  2.731  
65666   3.867  3.867  2.731  
65667   3.92   3.92   2.731  
65668   3.764  3.764  2.731  
65669   3.544  3.544  2.731  
65670   3.363  3.363  2.731  
65671   3.858  3.858  2.731  
65672   3.774  3.774  2.731  
65673   3.692  3.692  2.731  
65674   3.662  3.662  2.731  
65675   4.1    4.1    2.731  
65676   3.74   3.74   2.731  
65677   3.519  3.519  2.731  
65678   3.574  3.574  2.731  
65679   3.526  3.526  2.731  
65680   3.395  3.395  2.731  
65681   3.165  3.165  2.731  
65682   3.085  3.085  2.731  
65683   3.224  3.224  2.731  
65684   3.031  3.031  2.731  
65685   3.095  3.095  2.731  
65686   3.051  3.051  2.731  
65687   3.079  3.079  2.731  
65688   3.205  3.205  2.731  
65689   3.177  3.177  2.731  
65690   3.244  3.177  2.731  
65691   3.047  3.047  2.731  
65692   3.034  3.034  2.731  
65693   3.159  3.159  2.731  
65694   3.095  3.095  2.731  
65695   3.079  3.079  2.731  
65696   3.239  3.079  2.731  
65697   3.556  3.556  2.731  
65698   3.367  3.367  2.731  
65699   3.151  3.151  2.731  
65700   3.164  3.164  2.731  
65701   3.09   3.09   2.731  
65702   3.244  3.244  2.731  
65703   3.255  3.255  2.731  
65704   3.161  3.161  2.731  
65705   3.389  3.389  2.731  
